S5001,2025-05-13,I001,10,25.90,259.00,U002
S5004,2025-05-13,I004,6,7.90,47.40,U002
S5007,2025-05-13,I007,3,35.90,107.70,U002
S5010,2025-05-13,I010,2,5.90,11.80,U002
S5013,2025-05-13,I013,8,5.90,47.20,U002
S10001,2025-05-14,I001,8,25.90,207.20,U002
S10004,2025-05-14,I004,7,7.90,55.30,U002
S10007,2025-05-14,I007,10,35.90,359.00,U002
S10010,2025-05-14,I010,5,5.90,29.50,U002
S10013,2025-05-14,I013,3,5.90,17.70,U002
S15001,2025-05-15,I001,6,25.90,155.40,U002
S15004,2025-05-15,I004,1,7.90,7.90,U002
S15007,2025-05-15,I007,1,35.90,35.90,U002
S15010,2025-05-15,I010,5,5.90,29.50,U002
S15013,2025-05-15,I013,10,5.90,59.00,U002
S20001,2025-05-16,I001,6,25.90,155.40,U002
S20004,2025-05-16,I004,4,7.90,31.60,U002
S20007,2025-05-16,I007,3,35.90,107.70,U002
S20010,2025-05-16,I010,4,5.90,23.60,U002
S20013,2025-05-16,I013,9,5.90,53.10,U002
S25001,2025-05-17,I001,6,25.90,155.40,U002
S25004,2025-05-17,I004,3,7.90,23.70,U002
S25007,2025-05-17,I007,4,35.90,143.60,U002
S25010,2025-05-17,I010,5,5.90,29.50,U002
S25013,2025-05-17,I013,8,5.90,47.20,U002
S30001,2025-05-18,I001,9,25.90,233.10,U002
S30004,2025-05-18,I004,9,7.90,71.10,U002
S30007,2025-05-18,I007,4,35.90,143.60,U002
S30010,2025-05-18,I010,8,5.90,47.20,U002
S30013,2025-05-18,I013,7,5.90,41.30,U002
S35001,2025-05-19,I001,8,25.90,207.20,U002
S35004,2025-05-19,I004,4,7.90,31.60,U002
S35007,2025-05-19,I007,6,35.90,215.40,U002
S35010,2025-05-19,I010,2,5.90,11.80,U002
S35013,2025-05-19,I013,1,5.90,5.90,U002
S35014,2025-05-20,I002,1,45.50,45.50,U001
S0001,2025-05-06,I013,1,5.90,5.90,U002
S0002,2025-05-06,I001,6,25.90,155.40,U002
S0003,2025-05-06,I008,10,8.90,89.00,U002
S0004,2025-05-06,I021,8,5.90,47.20,U002
S0005,2025-05-06,I002,3,45.50,136.50,U002
S0006,2025-05-06,I007,1,35.90,35.90,U002
S0007,2025-05-06,I027,3,5.50,16.50,U002
S0008,2025-05-06,I015,5,4.90,24.50,U002
S0009,2025-05-06,I032,2,29.90,59.80,U002
S0010,2025-05-06,I021,9,5.90,53.10,U002
S0011,2025-05-06,I003,8,12.80,102.40,U002
S0012,2025-05-06,I009,6,26.90,161.40,U002
S0013,2025-05-06,I004,3,7.90,23.70,U002
S0014,2025-05-06,I004,3,7.90,23.70,U002
S0015,2025-05-06,I027,5,5.50,27.50,U002
S0016,2025-05-06,I017,4,9.80,39.20,U002
S0017,2025-05-06,I011,5,9.80,49.00,U002
S0018,2025-05-06,I009,10,26.90,269.00,U002
S0019,2025-05-06,I009,3,26.90,80.70,U002
S0020,2025-05-07,I001,4,25.90,103.60,U002
S0021,2025-05-07,I032,10,29.90,299.00,U002
S0022,2025-05-07,I015,8,4.90,39.20,U002
S0023,2025-05-07,I008,9,8.90,80.10,U002
S0024,2025-05-07,I015,9,4.90,44.10,U002
S0025,2025-05-07,I002,9,45.50,409.50,U002
S0026,2025-05-07,I005,7,12.50,87.50,U002
S0027,2025-05-07,I010,4,5.90,23.60,U002
S0028,2025-05-07,I015,6,4.90,29.40,U002
S0029,2025-05-07,I023,4,4.90,19.60,U002
S0030,2025-05-07,I004,1,7.90,7.90,U002
S0031,2025-05-07,I005,9,12.50,112.50,U002
S0032,2025-05-07,I021,4,5.90,23.60,U002
S0033,2025-05-07,I026,6,6.90,41.40,U002
S0034,2025-05-08,I002,7,45.50,318.50,U002
S0035,2025-05-08,I016,1,5.90,5.90,U002
S0036,2025-05-08,I016,5,5.90,29.50,U002
S0037,2025-05-08,I006,1,28.90,28.90,U002
